document_id,label,probability
9700002370,451,0.0004
9700002370,452,0.0012
9700002370,453,0.0014
9700002370,454,0.0008
9700002370,481,0.003
9700002370,482,0.0011
9700002370,483,0.0046
9700002370,484,0.0006
9700002370,485,0.0003
9700002370,486,0.0007
9700002370,487,0.0006
9700002370,488,0.0191
9700002370,493,0.0005
9700002370,511,0.0007
9700002370,512,0.0202
9700002370,515,0.0009
9700002370,517,0.0007
9700002370,518,0.0005
9700002370,519,0.0009
9700002370,521,0.0006
9700002370,522,0.0045
9700002370,523,0.0004
9700002370,524,0.0
9700002789,111,0.0023
9700002789,112,0.0001
9700002789,113,0.0002
9700002789,114,0.0003
9700002789,115,0.0005
9700002789,211,0.0002
9700002789,212,0.0002
9700002789,213,0.0004
9700002789,221,0.0006
9700002789,236,0.0004
9700002789,237,0.0007
9700002789,238,0.0009
9700002789,311,0.0017
9700002789,312,0.0002
9700002789,313,0.0016
9700002789,314,0.0007
9700002789,321,0.0007
9700002789,322,0.007
9700002789,323,0.0007
9700002789,324,0.0002
9700002789,325,0.0001
9700002789,326,0.0018
9700002789,327,0.001
9700002789,331,0.0007
9700002789,332,0.0007
9700002789,333,0.0007
9700002789,334,0.0016
9700002789,335,0.0004
9700002789,336,0.0
9700002789,337,0.0014
9700002789,339,0.0005
9700002789,423,0.0058
9700002789,424,0.0024
9700002789,425,0.0028
9700002789,441,0.002
9700002789,443,0.0005
9700002789,444,0.0008
9700002789,445,0.0014
9700002789,446,0.0006
9700002789,447,0.0005
9700002789,448,0.0002
9700002789,451,0.0012
9700002789,452,0.001
9700002789,453,0.004
9700002789,454,0.0013
9700002789,481,0.0028
9700002789,482,0.0002
9700002789,483,0.0003
9700002789,484,0.0004
9700002789,485,0.0001
9700002789,486,0.0005
9700002789,487,0.0006
9700002789,488,0.0011
9700002789,493,0.0004
9700002789,511,0.0004
9700002789,512,0.0014
9700002789,515,0.0001
9700002789,517,0.0051
9700002789,518,0.0005
9700002789,519,0.0004
9700002789,521,0.0003
9700002789,522,0.0001
9700002789,523,0.0006
9700002789,524,0.0005
9700002789,525,0.0005
9700002789,531,0.0002
9700002789,532,0.0003
9700002789,541,0.0078
9700002789,551,0.0006
9700002789,561,0.6285
9700002789,562,0.001
9700002789,611,0.0018
9700002789,621,0.0001
9700002789,622,0.0003
9700002789,623,0.0001
9700002789,624,0.0012
9700002789,711,0.0007
9700002789,712,0.0042
9700002789,713,0.0007
9700002789,721,0.0011
9700002789,722,0.0004
9700002789,811,0.0005
9700002789,812,0.0008
9700002789,813,0.1612
9700002789,814,0.0014
9700002789,921,0.0002
9700002789,922,0.0074
9700002789,924,0.0008
9700002789,928,0.0004
9700002334,112,0.0001
9700002334,113,0.0007
9700002334,114,0.0005
9700002334,115,0.0002
9700002334,211,0.0002
9700002334,212,0.0029
9700002334,213,0.0004
9700002334,221,0.0001
9700002334,236,0.0001
9700002334,237,0.0007
9700002334,238,0.0004
9700002334,311,0.0002
9700002334,312,0.0012
9700002334,313,0.0003
9700002334,314,0.0002
9700002334,321,0.0002
9700002334,322,0.0006
9700002334,323,0.0003
9700002334,324,0.0005
9700002334,325,0.0004
9700002334,326,0.0005
9700002334,327,0.0002
9700002334,331,0.0003
9700002334,332,0.0008
9700002334,333,0.0003
9700002334,334,0.0004
9700002334,335,0.0004
9700002334,336,0.0
9700002334,337,0.0005
9700002334,339,0.0001
9700002334,423,0.0
9700002334,424,0.0002
9700002334,425,0.0002
9700002334,441,0.0016
9700002334,443,0.0004
9700002334,444,0.0008
9700002334,445,0.0003
9700002334,446,0.0004
9700002334,447,0.0004
9700002334,448,0.001
9700002334,451,0.0006
9700002334,452,0.0009
9700002334,453,0.0009
9700002334,454,0.0067
9700002334,481,0.31
9700002334,482,0.0003
9700002334,483,0.0024
9700002334,484,0.0003
9700002334,485,0.0006
9700002334,486,0.0003
9700002334,487,0.0004
9700002334,488,0.0026
9700002334,493,0.0003
9700002334,511,0.0001
9700002334,512,0.0007
9700002334,515,0.0079
9700002334,517,0.0015
